,origin,exchange
0,JALマイレージバンク,Suica
1,JALマイレージバンク,東急
2,JALマイレージバンク,Ponta
3,JALマイレージバンク,JTBトラベルポイント
4,JALマイレージバンク,PiTaPa
5,JALマイレージバンク,小田急
6,JALマイレージバンク,近鉄電車
7,JALマイレージバンク,WAON
8,JALマイレージバンク,nimocaポイント
9,JALマイレージバンク,ビックカメラ
10,JALマイレージバンク,Amazonギフト券
11,JALマイレージバンク,JRキューポ
12,JALマイレージバンク,dポイント
13,JALマイレージバンク,三越伊勢丹
14,JALマイレージバンク,中部電力
15,JALマイレージバンク,楽天
0,ANAマイレージクラブ,Tポイント
1,ANAマイレージクラブ,楽天Edy
2,ANAマイレージクラブ,PiTaPa
3,ANAマイレージクラブ,楽天
4,ANAマイレージクラブ,東京メトロ
5,ANAマイレージクラブ,セブンカード／アイワイカード
6,ANAマイレージクラブ,高島屋
7,ANAマイレージクラブ,ヤマダ電機
8,ANAマイレージクラブ,Suica
9,ANAマイレージクラブ,京成
10,ANAマイレージクラブ,マツモトキヨシ
11,ANAマイレージクラブ,μstarポイントサービス
12,ANAマイレージクラブ,カエトクカード
13,ANAマイレージクラブ,JRキューポ
14,ANAマイレージクラブ,nanacoポイント
15,ANAマイレージクラブ,Apple Gift Card
16,ANAマイレージクラブ,スターバックス カード
17,ANAマイレージクラブ,ANA SKYコイン
18,ANAマイレージクラブ,東急
19,ANAマイレージクラブ,iDバリュー
20,ANAマイレージクラブ,三越伊勢丹
0,マイレージ・プラス,楽天
0,AAadvantage,None
0,フライングクラブ,ヒルトン
0,アジア・マイル,None
0,クリスフライヤー,None
0,ロイヤルオーキッドプラス,None
0,スカイマイル,None
0,アシアナクラブ,None
0,クラブ・ミッレミリア,None
0,ワンパスマイレージプログラム,None
0,ダイナスティ・フライヤー・プログラム,None
0,Vポイント（ワールドプレゼント）,ANA
1,Vポイント（ワールドプレゼント）,ベルメゾン
2,Vポイント（ワールドプレゼント）,dポイント
3,Vポイント（ワールドプレゼント）,上新電機
4,Vポイント（ワールドプレゼント）,楽天
5,Vポイント（ワールドプレゼント）,Gポイント
6,Vポイント（ワールドプレゼント）,楽天Edy
7,Vポイント（ワールドプレゼント）,ビックカメラ
8,Vポイント（ワールドプレゼント）,PiTaPa
9,Vポイント（ワールドプレゼント）,Tポイント
10,Vポイント（ワールドプレゼント）,京王
11,Vポイント（ワールドプレゼント）,ヨドバシカメラ
12,Vポイント（ワールドプレゼント）,WAONポイント
13,Vポイント（ワールドプレゼント）,カエトクカード
14,Vポイント（ワールドプレゼント）,iDバリュー
15,Vポイント（ワールドプレゼント）,nanacoポイント
16,Vポイント（ワールドプレゼント）,スターバックス カード
17,Vポイント（ワールドプレゼント）,ソニー
18,Vポイント（ワールドプレゼント）,Ponta
19,Vポイント（ワールドプレゼント）,タリーズカード
20,Vポイント（ワールドプレゼント）,PeX
21,Vポイント（ワールドプレゼント）,中部電力
22,Vポイント（ワールドプレゼント）,RealPay（旧PointExchange）
23,Vポイント（ワールドプレゼント）,ブリティッシュ・エアウェイズ
24,Vポイント（ワールドプレゼント）,エールフランス航空/KLMオランダ航空
25,Vポイント（ワールドプレゼント）,Amazonギフト券
26,Vポイント（ワールドプレゼント）,Apple Gift Card
0,Oki Dokiポイントプログラム,JAL
1,Oki Dokiポイントプログラム,ANA
2,Oki Dokiポイントプログラム,ベルメゾン
3,Oki Dokiポイントプログラム,ビックカメラ
4,Oki Dokiポイントプログラム,上新電機
5,Oki Dokiポイントプログラム,楽天
6,Oki Dokiポイントプログラム,セシール
7,Oki Dokiポイントプログラム,dポイント
8,Oki Dokiポイントプログラム,auポイント
9,Oki Dokiポイントプログラム,京王
10,Oki Dokiポイントプログラム,東京メトロ
11,Oki Dokiポイントプログラム,nanacoポイント
12,Oki Dokiポイントプログラム,JTBトラベルポイント
13,Oki Dokiポイントプログラム,ちょコムポイント
