"","origin","exchange"
"1","Gポイント","現金"
"2","ネットマイル","現金"
"3","ティーポイント","現金"
"4","わくわくポイント","現金"
"5","エルネ","現金"
"6","ちょびリッチポイント","現金"
"7","マクロミルポイント","現金"
"8","CMポイント","現金"
"9","colleeeポイント（予想ネットポイント）","現金"
"10","ポケット・ポイント","現金"
"11","ワラウポイント","現金"
"12","PeX","現金"
"13","ポイントモンキー","現金"
"14","SBIポイント","現金"
"15","ドリームポイント","現金"
"16","キューモニター","現金"
"17","ハピタス","現金"
"18","RealPay（旧PointExchange）","現金"
"19","ポイントタウン","現金"
"20","ポトラ","現金"
"21","GetMoney!","現金"
"22","チャンスイット","現金"
"23","ビジネスエリートカード","現金"
"24","モッピー","現金"
"25",".money","現金"
"26","Point Income","現金"
