"","origin","exchange"
"1","Gポイント","現金"
"2","ネットマイル","現金"
"3","ティーポイント","現金"
"4","わくわくポイント","現金"
"5","エルネ","現金"
"6","ちょびリッチポイント","現金"
"7","マクロミルポイント","現金"
"8","CMポイント","現金"
"9","colleeeポイント（予想ネットポイント）","現金"
"10","ポケット・ポイント","現金"
"11","ワラウポイント","現金"
"12","PeX","現金"
"13","ポイントモンキー","現金"
"14","SBIポイント","現金"
"15","ドリームポイント","現金"
"16","キューモニター","現金"
"17","ハピタス","現金"
"18","RealPay（旧PointExchange）","現金"
"19","ポイントタウン","現金"
"20","ポトラ","現金"
"21","GetMoney!","現金"
"22","チャンスイット","現金"
"23","ビジネスエリートカード","現金"
"24","モッピー","現金"
"25",".money","現金"
"26","Point Income","現金"
"27","Vポイント（ワールドプレゼント）","Gポイント"
"28","ラブリィプレゼント","Gポイント"
"29","LIFEサンクスプレゼント","Gポイント"
"30","GSポイント","Gポイント"
"31","セシールスマイルポイント","Gポイント"
"32","わくわくポイント","Gポイント"
"33","マツキヨポイント","Gポイント"
"34","エルネ","Gポイント"
"35","ちょびリッチポイント","Gポイント"
"36","マクロミルポイント","Gポイント"
"37","Vポイント（ANA VISA（マスター）カード）","Gポイント"
"38","ポケット・ポイント","Gポイント"
"39","グリーンスタンプギフト券","Gポイント"
"40","キューモニター","Gポイント"
"41","ハピタス","Gポイント"
"42","GetMoney!","Gポイント"
"43","ビジネスエリートカード","Gポイント"
"44","イーツアーポイント","Gポイント"
"45","モッピー","Gポイント"
"46","Reader’s Card","Gポイント"
"47","JRキューポ","Gポイント"
"48","西鉄ホテルグループポイントメンバーズ","Gポイント"
"49","CLUB Panasonicコイン","Gポイント"
"50","セシールスマイルポイント","ネットマイル"
"51","ナチュラムマイレージポイント","ネットマイル"
"52","gooポイント（旧ポイントーク）","ネットマイル"
"53","三菱東京ＵＦＪポイント","ネットマイル"
"54","とっておきプレゼント","ネットマイル"
"55","ハピタス","ネットマイル"
"56","アップルポイント","ネットマイル"
"57","GetMoney!","ネットマイル"
"58","チャンスイット","ネットマイル"
"59","ビーム","ネットマイル"
"60","icou！ポイント","ネットマイル"
"61","CLUB Panasonicコイン","ネットマイル"
"62","エネルギアポイント","ネットマイル"
"63","よんでんポイント","ネットマイル"
"64","セシールスマイルポイント","エルネ"
"65","Vポイント（ワールドプレゼント）","PeX"
"66","とっておきプレゼント","PeX"
"67","エルネ","PeX"
"68","ちょびリッチポイント","PeX"
"69","マクロミルポイント","PeX"
"70","colleeeポイント（予想ネットポイント）","PeX"
"71","Vポイント（ANA VISA（マスター）カード）","PeX"
"72","ECナビポイント","PeX"
"73","リアルワールド（旧ライフマイル）","PeX"
"74","ワラウポイント","PeX"
"75","ちょコムポイント","PeX"
"76","ポイントモンキー","PeX"
"77","SBIポイント","PeX"
"78","キューモニター","PeX"
"79","ハピタス","PeX"
"80","げん玉","PeX"
"81","ポイントタウン","PeX"
"82","GetMoney!","PeX"
"83","MyVoice","PeX"
"84","チャンスイット","PeX"
"85","Fastaskモニターポイント","PeX"
"86","モッピー","PeX"
"87","BOOKFANポイント","PeX"
"88","おサイフくんQUICPay","PeX"
"89","Point Income","PeX"
"90","ラグジュアリーカードポイント","PeX"
"91","イーツアーポイント","SBIポイント"
"92","サークルプラス","SBIポイント"
"93","Vポイント（ワールドプレゼント）","RealPay（旧PointExchange）"
"94","Vポイント（ANA VISA（マスター）カード）","RealPay（旧PointExchange）"
"95","リアルワールド（旧ライフマイル）","RealPay（旧PointExchange）"
"96","ワラウポイント","RealPay（旧PointExchange）"
"97","ポイントモンキー","RealPay（旧PointExchange）"
"98","げん玉","RealPay（旧PointExchange）"
"99","BOOKFANポイント","RealPay（旧PointExchange）"
"100","ドリームポイント","ポイントタウン"
"101","UC永久不滅ポイント",".money"
"102","メンバーシップ・リワード",".money"
"103","永久不滅ポイント",".money"
"104","GSポイント",".money"
"105","エルネ",".money"
"106","ちょびリッチポイント",".money"
"107","CMポイント",".money"
"108","colleeeポイント（予想ネットポイント）",".money"
"109","リアルワールド（旧ライフマイル）",".money"
"110","ワラウポイント",".money"
"111","ドリームポイント",".money"
"112","ハピタス",".money"
"113","CNポイント",".money"
"114","ポイントタウン",".money"
"115","GetMoney!",".money"
"116","チャンスイット",".money"
"117","イーツアーポイント",".money"
"118","モッピー",".money"
"119","M2Jポイント",".money"
"120","TLCポイント",".money"
"121","Point Income",".money"
