"","origin","exchange"
"1","JALマイレージバンク","Suica"
"2","JALマイレージバンク","東急"
"3","JALマイレージバンク","Ponta"
"4","JALマイレージバンク","JTBトラベルポイント"
"5","JALマイレージバンク","PiTaPa"
"6","JALマイレージバンク","小田急"
"7","JALマイレージバンク","近鉄電車"
"8","JALマイレージバンク","WAON"
"9","JALマイレージバンク","nimocaポイント"
"10","JALマイレージバンク","ビックカメラ"
"11","JALマイレージバンク","Amazonギフト券"
"12","JALマイレージバンク","JRキューポ"
"13","JALマイレージバンク","dポイント"
"14","JALマイレージバンク","三越伊勢丹"
"15","JALマイレージバンク","中部電力"
"16","JALマイレージバンク","楽天"
"17","ANAマイレージクラブ","Tポイント"
"18","ANAマイレージクラブ","楽天Edy"
"19","ANAマイレージクラブ","PiTaPa"
"20","ANAマイレージクラブ","楽天"
"21","ANAマイレージクラブ","東京メトロ"
"22","ANAマイレージクラブ","セブンカード／アイワイカード"
"23","ANAマイレージクラブ","高島屋"
"24","ANAマイレージクラブ","ヤマダ電機"
"25","ANAマイレージクラブ","Suica"
"26","ANAマイレージクラブ","京成"
"27","ANAマイレージクラブ","マツモトキヨシ"
"28","ANAマイレージクラブ","μstarポイントサービス"
"29","ANAマイレージクラブ","カエトクカード"
"30","ANAマイレージクラブ","JRキューポ"
"31","ANAマイレージクラブ","nanacoポイント"
"32","ANAマイレージクラブ","Apple Gift Card"
"33","ANAマイレージクラブ","スターバックス カード"
"34","ANAマイレージクラブ","ANA SKYコイン"
"35","ANAマイレージクラブ","東急"
"36","ANAマイレージクラブ","iDバリュー"
"37","ANAマイレージクラブ","三越伊勢丹"
"38","マイレージ・プラス","楽天"
"39","AAadvantage","None"
"40","フライングクラブ","ヒルトン"
"41","アジア・マイル","None"
"42","クリスフライヤー","None"
"43","ロイヤルオーキッドプラス","None"
"44","スカイマイル","None"
"45","アシアナクラブ","None"
"46","クラブ・ミッレミリア","None"
"47","ワンパスマイレージプログラム","None"
"48","ダイナスティ・フライヤー・プログラム","None"
"49","Vポイント（ワールドプレゼント）","ANA"
"50","Vポイント（ワールドプレゼント）","ベルメゾン"
"51","Vポイント（ワールドプレゼント）","dポイント"
"52","Vポイント（ワールドプレゼント）","上新電機"
"53","Vポイント（ワールドプレゼント）","楽天"
"54","Vポイント（ワールドプレゼント）","Gポイント"
"55","Vポイント（ワールドプレゼント）","楽天Edy"
"56","Vポイント（ワールドプレゼント）","ビックカメラ"
"57","Vポイント（ワールドプレゼント）","PiTaPa"
"58","Vポイント（ワールドプレゼント）","Tポイント"
"59","Vポイント（ワールドプレゼント）","京王"
"60","Vポイント（ワールドプレゼント）","ヨドバシカメラ"
"61","Vポイント（ワールドプレゼント）","WAONポイント"
"62","Vポイント（ワールドプレゼント）","カエトクカード"
"63","Vポイント（ワールドプレゼント）","iDバリュー"
"64","Vポイント（ワールドプレゼント）","nanacoポイント"
"65","Vポイント（ワールドプレゼント）","スターバックス カード"
"66","Vポイント（ワールドプレゼント）","ソニー"
"67","Vポイント（ワールドプレゼント）","Ponta"
"68","Vポイント（ワールドプレゼント）","タリーズカード"
"69","Vポイント（ワールドプレゼント）","PeX"
"70","Vポイント（ワールドプレゼント）","中部電力"
"71","Vポイント（ワールドプレゼント）","RealPay（旧PointExchange）"
"72","Vポイント（ワールドプレゼント）","ブリティッシュ・エアウェイズ"
"73","Vポイント（ワールドプレゼント）","エールフランス航空/KLMオランダ航空"
"74","Vポイント（ワールドプレゼント）","Amazonギフト券"
"75","Vポイント（ワールドプレゼント）","Apple Gift Card"
"76","Oki Dokiポイントプログラム","JAL"
"77","Oki Dokiポイントプログラム","ANA"
"78","Oki Dokiポイントプログラム","ベルメゾン"
"79","Oki Dokiポイントプログラム","ビックカメラ"
"80","Oki Dokiポイントプログラム","上新電機"
"81","Oki Dokiポイントプログラム","楽天"
"82","Oki Dokiポイントプログラム","セシール"
"83","Oki Dokiポイントプログラム","dポイント"
"84","Oki Dokiポイントプログラム","auポイント"
"85","Oki Dokiポイントプログラム","京王"
"86","Oki Dokiポイントプログラム","東京メトロ"
"87","Oki Dokiポイントプログラム","nanacoポイント"
"88","Oki Dokiポイントプログラム","JTBトラベルポイント"
"89","Oki Dokiポイントプログラム","ちょコムポイント"
"90","Oki Dokiポイントプログラム","デルタ航空"
"91","Oki Dokiポイントプログラム","楽天Edy"
"92","Oki Dokiポイントプログラム","カエトクカード"
"93","Oki Dokiポイントプログラム","大垣共立銀行"
"94","Oki Dokiポイントプログラム","スターバックス カード"
"95","Oki Dokiポイントプログラム","ANA SKYコイン"
"96","Oki Dokiポイントプログラム","スターフライヤー"
"97","Oki Dokiポイントプログラム","井筒屋"
"98","Oki Dokiポイントプログラム","Ponta"
"99","Oki Dokiポイントプログラム","WAONポイント"
"100","UC永久不滅ポイント","auポイント"
"101","UC永久不滅ポイント","dポイント"
"102","UC永久不滅ポイント","ビックカメラ"
"103","UC永久不滅ポイント","東京メトロ"
"104","UC永久不滅ポイント","ヤマダ電機"
"105","UC永久不滅ポイント","nanacoポイント"
"106","UC永久不滅ポイント","ANA"
"107","UC永久不滅ポイント","JTBトラベルポイント"
"108","UC永久不滅ポイント","楽天"
"109","UC永久不滅ポイント","ANA SKYコイン"
"110","UC永久不滅ポイント","Ponta"
"111","UC永久不滅ポイント",".money"
"112","DCハッピープレゼント","JAL"
"113","DCハッピープレゼント","auポイント"
"114","DCハッピープレゼント","dポイント"
"115","DCハッピープレゼント","Tポイント"
"116","DCハッピープレゼント","楽天"
"117","DCハッピープレゼント","ノジマ"
"118","DCハッピープレゼント","東急"
"119","DCハッピープレゼント","ヨドバシカメラ"
"120","DCハッピープレゼント","MUFGカード"
"121","DCハッピープレゼント","LuLuCaポイント"
"122","DCハッピープレゼント","Amazonギフト券"
"123","DCハッピープレゼント","Apple Gift Card"
"124","DCハッピープレゼント","nanacoポイント"
"125","DCハッピープレゼント","ベルメゾン"
"126","DCハッピープレゼント","Ponta"
"127","DCハッピープレゼント","中部電力"
"128","DCハッピープレゼント","WAONポイント"
"129","スマイルポイントプログラム","MUFGカード"
"130","わいわいプレゼント","JAL"
"131","わいわいプレゼント","楽天"
"132","わいわいプレゼント","ベルメゾン"
"133","わいわいプレゼント","dポイント"
"134","わいわいプレゼント","auポイント"
"135","わいわいプレゼント","キャセイパシフィック航空"
"136","わいわいプレゼント","東京メトロ"
"137","わいわいプレゼント","MUFGカード"
"138","わいわいプレゼント","Tポイント"
"139","わいわいプレゼント","ビックカメラ"
"140","わいわいプレゼント","nanacoポイント"
"141","わいわいプレゼント","Amazonギフト券"
"142","わいわいプレゼント","Apple Gift Card"
"143","わいわいプレゼント","Ponta"
"144","わいわいプレゼント","WAONポイント"
"145","ゴールドポイントプログラム","JAL"
"146","ゴールドポイントプログラム","楽天"
"147","ゴールドポイントプログラム","ベルメゾン"
"148","ゴールドポイントプログラム","dポイント"
"149","ゴールドポイントプログラム","auポイント"
"150","ゴールドポイントプログラム","キャセイパシフィック航空"
"151","ゴールドポイントプログラム","MUFGカード"
"152","ゴールドポイントプログラム","Tポイント"
"153","ゴールドポイントプログラム","ビックカメラ"
"154","ゴールドポイントプログラム","nanacoポイント"
"155","ゴールドポイントプログラム","Amazonギフト券"
"156","ゴールドポイントプログラム","Apple Gift Card"
"157","ゴールドポイントプログラム","Ponta"
"158","ゴールドポイントプログラム","WAONポイント"
"159","NICOSスマイルクラブ","None"
"160","暮らスマイル","ちょコムポイント"
"161","暮らスマイル","ベルメゾン"
"162","暮らスマイル","オリコポイント"
"163","ラブリィプレゼント","ANA"
"164","ラブリィプレゼント","auポイント"
"165","ラブリィプレゼント","Gポイント"
"166","ラブリィプレゼント","dポイント"
"167","ラブリィプレゼント","楽天"
"168","ラブリィプレゼント","Tポイント"
"169","ラブリィプレゼント","ベルメゾン"
"170","ラブリィプレゼント","JAL"
"171","ラブリィプレゼント","nanacoポイント"
"172","ラブリィプレゼント","Ponta"
"173","ラブリィプレゼント","ANA SKYコイン"
"174","ラブリィプレゼント","Amazonギフト券"
"175","LIFEサンクスプレゼント","ANA"
"176","LIFEサンクスプレゼント","Gポイント"
"177","LIFEサンクスプレゼント","dポイント"
"178","LIFEサンクスプレゼント","auポイント"
"179","LIFEサンクスプレゼント","楽天"
"180","LIFEサンクスプレゼント","ベルメゾン"
"181","LIFEサンクスプレゼント","Amazonギフト券"
"182","LIFEサンクスプレゼント","Ponta"
"183","メンバーシップ・リワード","ANA"
"184","メンバーシップ・リワード","JAL"
"185","メンバーシップ・リワード","チャイナエアライン"
"186","メンバーシップ・リワード","デルタ航空"
"187","メンバーシップ・リワード","ヴァージン アトランティック航空"
"188","メンバーシップ・リワード","タイ国際航空"
"189","メンバーシップ・リワード","キャセイパシフィック航空"
"190","メンバーシップ・リワード","シンガポール航空"
"191","メンバーシップ・リワード","ヒルトン"
"192","メンバーシップ・リワード","スターウッド"
"193","メンバーシップ・リワード","楽天"
"194","メンバーシップ・リワード","WebMoney"
"195","メンバーシップ・リワード","Tポイント"
"196","メンバーシップ・リワード","ブリティッシュ・エアウェイズ"
"197","メンバーシップ・リワード","エティハド航空"
"198","メンバーシップ・リワード","エミレーツ航空"
"199","メンバーシップ・リワード","エールフランス航空/KLMオランダ航空"
"200","メンバーシップ・リワード","カタール航空"
"201","メンバーシップ・リワード","Apple Gift Card"
"202","メンバーシップ・リワード","Amazonギフト券"
"203","メンバーシップ・リワード",".money"
