"","次数","出次数","入次数","近接性","媒介性"
"Gポイント",59,35,24,0.0217391304347826,840.85
"PeX",53,26,27,0.0285714285714286,567.833333333333
"ネットマイル",46,32,14,0.0263157894736842,342.866666666667
"JRキューポ",18,9,9,0.0135135135135135,317.9
".money",40,19,21,0.0476190476190476,222.625
"ちょコムポイント",15,4,11,0.0178571428571429,155.383333333333
"nanacoポイント",49,3,46,0.333333333333333,119.133333333333
"nimocaポイント",7,2,5,0.5,58.8333333333333
"ちょコムeマネー",8,6,2,0.166666666666667,51.95
"スターフライヤー",5,1,4,1,47
"TLCポイント",6,5,1,0.0232558139534884,44
"SBIポイント",10,8,2,0.0169491525423729,39.0416666666667
"RealPay（旧PointExchange）",23,15,8,0.0153846153846154,38.75
"Sポイント",6,2,4,0.5,35.3333333333333
"LuLuCaポイント",4,1,3,0.0153846153846154,24
"ポイントタウン",20,19,1,0.0178571428571429,21
"エルネ",10,9,1,0.00952380952380952,10.3333333333333
"オリコポイント",11,10,1,0.1,8
"JTBトラベルポイント",9,2,7,0.5,5.83333333333333
"μstarポイントサービス",7,2,5,0.5,5.83333333333333
