"","次数","出次数","入次数","近接性","媒介性"
"ポイントタウン",4,3,1,0.333333333333333,1
"Gポイント",11,1,10,1,0
"ネットマイル",4,1,3,1,0
"ティーポイント",1,1,0,1,0
"わくわくポイント",2,2,0,0.5,0
"エルネ",4,4,0,0.25,0
"ちょびリッチポイント",4,4,0,0.25,0
"マクロミルポイント",3,3,0,0.333333333333333,0
"CMポイント",2,2,0,0.5,0
"colleeeポイント（予想ネットポイント）",3,3,0,0.333333333333333,0
"ポケット・ポイント",2,2,0,0.5,0
"ワラウポイント",4,4,0,0.25,0
"PeX",15,1,14,1,0
"ポイントモンキー",3,3,0,0.333333333333333,0
"SBIポイント",2,2,0,0.5,0
"ドリームポイント",3,3,0,0.2,0
"キューモニター",3,3,0,0.333333333333333,0
"ハピタス",5,5,0,0.2,0
"RealPay（旧PointExchange）",3,1,2,1,0
"ポトラ",1,1,0,1,0
